ID_Venta,Fecha,ID_Producto,ID_Cliente,ID_Vendedor,Cantidad,Precio_Unitario,Descuento,Total_Venta,Costo_Unitario,Utilidad
VTA00001,2024-04-18,P004,C008,V003,2,300,15,510.0,200,200
VTA00002,2025-05-28,P003,C004,V009,4,150,5,570.0,90,240
VTA00003,2024-06-08,P004,C016,V006,1,300,5,285.0,200,100
VTA00004,2025-06-07,P003,C003,V010,5,150,0,750.0,90,300
VTA00005,2024-07-05,P004,C012,V009,4,300,0,1200.0,200,400
VTA00006,2024-12-27,P003,C006,V009,3,150,10,405.0,90,180
VTA00007,2025-09-16,P001,C004,V006,1,1200,15,1020.0,900,300
VTA00008,2024-06-04,P004,C006,V001,1,300,10,270.0,200,100
VTA00009,2025-10-10,P003,C010,V005,1,150,5,142.5,90,60
VTA00010,2024-07-25,P003,C015,V007,2,150,10,270.0,90,120
VTA00011,2024-07-21,P005,C015,V008,4,100,5,380.0,60,160
VTA00012,2024-10-05,P001,C012,V006,2,1200,0,2400.0,900,600
VTA00013,2024-03-30,P003,C020,V004,2,150,5,285.0,90,120
VTA00014,2025-12-26,P005,C018,V001,4,100,0,400.0,60,160
VTA00015,2024-03-29,P001,C012,V009,2,1200,0,2400.0,900,600
VTA00016,2024-01-24,P004,C015,V008,4,300,5,1140.0,200,400
VTA00017,2025-11-14,P003,C009,V001,1,150,0,150.0,90,60
VTA00018,2024-02-01,P002,C010,V009,3,800,10,2160.0,600,600
VTA00019,2024-02-04,P003,C002,V010,1,150,15,127.5,90,60
VTA00020,2024-11-16,P002,C003,V006,3,800,15,2040.0,600,600
VTA00021,2024-11-18,P003,C017,V009,1,150,0,150.0,90,60
VTA00022,2024-09-17,P004,C018,V008,2,300,5,570.0,200,200
VTA00023,2025-09-25,P003,C002,V006,5,150,0,750.0,90,300
VTA00024,2024-03-30,P003,C015,V003,1,150,5,142.5,90,60
VTA00025,2024-09-14,P005,C010,V010,2,100,10,180.0,60,80
VTA00026,2024-08-15,P004,C014,V009,1,300,15,255.0,200,100
VTA00027,2025-02-16,P001,C005,V005,4,1200,0,4800.0,900,1200
VTA00028,2024-03-18,P005,C002,V001,2,100,10,180.0,60,80
VTA00029,2025-04-28,P004,C003,V008,2,300,5,570.0,200,200
VTA00030,2025-07-28,P001,C001,V001,4,1200,10,4320.0,900,1200
VTA00031,2025-06-21,P003,C015,V001,2,150,0,300.0,90,120
VTA00032,2025-02-05,P002,C004,V001,3,800,10,2160.0,600,600
VTA00033,2025-12-12,P005,C002,V002,3,100,10,270.0,60,120
VTA00034,2024-05-04,P003,C009,V003,5,150,5,712.5,90,300
VTA00035,2024-11-29,P001,C003,V007,2,1200,10,2160.0,900,600
VTA00036,2025-08-07,P002,C003,V006,1,800,5,760.0,600,200
VTA00037,2025-05-29,P003,C010,V005,4,150,5,570.0,90,240
VTA00038,2024-05-15,P001,C016,V006,5,1200,0,6000.0,900,1500
VTA00039,2024-01-26,P005,C015,V008,1,100,10,90.0,60,40
VTA00040,2024-02-15,P004,C019,V007,2,300,15,510.0,200,200
